date,sym,qty,status,trader
2020.01.08,SIQ.QX,3,new,23441020
2020.01.08,QNZ.QX,61,new,38094474
2020.01.08,EPW.QX,500,new,23039875
2020.01.08,8IH.QX,1800,new,1364668755
2020.01.08,STO.QX,10000,new,38045759
2020.01.09,QQQtc.OQ,1,new,1387003021
2020.01.09,JP3046300004,3,new,23318947
2020.01.09,QQQtc.OQ,3,new,1387002934
2020.01.09,QMZN.O,4,new,38152560
2020.01.09,IBBtc.OQ,4,replaced,38095796
2020.01.09,IBBtc.OQ,4,replaced,38095796
2020.01.09,FQZ,5,new,38075638
2020.01.09,TWLO.K,5,rejected,38129924
2020.01.09,DBKGnEUR.DEp,10,new,1364685995
2020.01.09,IQU,10,rejected,1431699983
2020.01.09,T,25,new,38152560
2020.01.09,VZ,25,new,38152560
2020.01.09,DFVT.SI,30,new,38161433
2020.01.09,DFVT.SI,30,new,38161433
2020.01.09,SBUX.O,40,new,38155039
2020.01.09,SBUX.O,40,replaced,38155039
2020.01.09,IE00B5V87390,50,new,38157015
2020.01.09,HYFL_p.SI,50,new,1163671697
2020.01.09,TRIP.O,50,new,38155039
2020.01.09,TSLQ.O,50,rejected,1431704025
2020.01.09,TRIP.O,50,replaced,38155039
2020.01.09,MO,65,new,38152560
2020.01.09,IUKD.L,70,new,23805313
2020.01.09,USO,75,new,38152560
2020.01.09,VUSD.L,80,new,895627398
2020.01.09,QNZ.QX,100,new,895625414
2020.01.09,9885.T,100,new,538269288
2020.01.09,DSPS.SI,100,new,38121200
2020.01.09,STEG.SI,100,new,22882257
2020.01.09,STEG.SI,100,new,22882257
2020.01.09,HBEE.SI,100,new,22866959
2020.01.09,SQTS.SI,100,new,22920174
2020.01.09,SQTS.SI,100,new,22920174
2020.01.09,DBSM.SI,100,new,1275329721
2020.01.09,UOBH.SI,100,new,23474993
2020.01.09,CMLT.SI,100,new,22865436
2020.01.09,CMDG.SI,100,new,22882257
2020.01.09,CMDG.SI,100,new,22882257
2020.01.09,CQCT.SI,100,new,22865436
2020.01.09,OCBC.SI,100,new,22882257
2020.01.09,OCBC.SI,100,new,22882257
2020.01.09,UTOS.SI,100,new,22882257
2020.01.09,KPLM.SI,100,new,22882257
2020.01.09,KPLM.SI,100,new,22928977
2020.01.09,STQR.SI,100,new,22860663
2020.01.09,PWLR.SI,100,new,22862481
2020.01.09,STTF.SI,100,new,1387005582
2020.01.09,CHK,100,replaced,38095796
2020.01.09,QG,140,new,1364685995
2020.01.09,SQQQ.L,142,new,1386990202
2020.01.09,BMG6331P1041,146,new,38145199
2020.01.09,BMG6331P1041,146,partiallyFilled,38145199
2020.01.09,LVMH.SMp,150,new,1387035656
2020.01.09,LB,150,new,1386994002
2020.01.09,US90187B1017,150,new,38155039
2020.01.09,US90187B1017,150,replaced,38155039
2020.01.09,QNZ.QX,200,new,38082018
2020.01.09,QNZ.QX,200,new,38082018
2020.01.09,QNZ.QX,200,new,38082018
2020.01.09,NQB.QX,200,new,38082018
2020.01.09,NQB.QX,200,new,38082018
2020.01.09,NQB.QX,200,new,38082018
2020.01.09,NOBG.SI,200,new,22899521
2020.01.09,UQFC.SI,200,new,22881100
2020.01.09,UQFC.SI,200,new,22881100
2020.01.09,UQFC.SI,200,new,22881100
2020.01.09,UQFC.SI,200,new,22881100
2020.01.09,UQFC.SI,200,new,22881100
